dc_bias,time,voltage,current
-0.2,2.74,-0.2,-4.133111
-0.2,2.7600000000000002,-0.2,-4.227077
-0.2,2.7800000000000002,-0.2,-4.149992
-0.2,2.8000000000000003,-0.2,-4.185541
-0.2,2.82,-0.2,-4.188545
-0.2,2.84,-0.2,-4.317614
-0.2,2.86,-0.2,-4.164927
-0.2,2.88,-0.2,-3.874258
-0.2,2.9,-0.2,-4.21473
-0.2,2.92,-0.2,-4.038184
-0.2,2.94,-0.2,-4.167588
-0.2,2.96,-0.2,-4.098098
-0.2,2.98,-0.2,-4.013304
-0.2,3.0,-0.2,-4.151994
0.04999999999999999,0.02,0.05,0.861365
0.04999999999999999,0.04,0.05,0.67055
0.04999999999999999,0.06,0.05,0.803437
0.04999999999999999,0.08,0.05,1.138477
0.04999999999999999,0.1,0.05,0.992665
0.04999999999999999,0.12,0.05,0.909093
0.04999999999999999,0.14,0.05,0.891628
0.04999999999999999,0.16,0.05,0.770851
0.04999999999999999,0.18,0.05,0.914363
0.04999999999999999,0.2,0.05,0.722909
0.04999999999999999,0.22,0.05,0.891813
0.04999999999999999,0.24,0.05,0.854992
0.04999999999999999,0.26,0.05,0.931749
0.04999999999999999,0.28,0.05,0.757106
0.04999999999999999,0.3,0.05,0.938267
0.04999999999999999,0.32,0.05,0.903446
0.04999999999999999,0.34,0.05,0.861515
0.04999999999999999,0.36,0.05,1.00111
0.04999999999999999,0.38,0.05,0.928919
0.04999999999999999,0.4,0.05,0.896254
0.04999999999999999,0.42,0.05,0.803414
0.04999999999999999,0.44,0.05,0.723241
0.04999999999999999,0.46,0.05,0.958133
0.04999999999999999,0.48,0.05,0.960673
0.04999999999999999,0.5,0.05,0.873475
0.04999999999999999,0.52,0.05,0.936758
0.04999999999999999,0.54,0.05,0.867571
0.04999999999999999,0.56,0.05,0.941342
0.04999999999999999,0.58,0.05,0.952447
0.04999999999999999,0.6,0.05,0.937034
0.04999999999999999,0.62,0.05,0.914149
0.04999999999999999,0.64,0.05,0.993851
0.04999999999999999,0.66,0.05,0.908377
0.04999999999999999,0.68,0.05,0.832935
0.04999999999999999,0.7000000000000001,0.05,0.769274
0.04999999999999999,0.72,0.05,0.861387
0.04999999999999999,0.74,0.05,1.136498
0.04999999999999999,0.76,0.05,0.830575
0.04999999999999999,0.78,0.05,0.775134
0.04999999999999999,0.8,0.05,0.872115
0.04999999999999999,0.8200000000000001,0.05,0.857748
0.04999999999999999,0.84,0.05,0.896694
0.04999999999999999,0.86,0.05,0.91829
0.04999999999999999,0.88,0.05,0.669485
0.04999999999999999,0.9,0.05,0.966457
0.04999999999999999,0.92,0.05,0.832466
0.04999999999999999,0.9400000000000001,0.05,0.851773
0.04999999999999999,0.96,0.05,0.93037
0.04999999999999999,0.98,0.05,0.95923
0.04999999999999999,1.0,0.05,0.848677
0.04999999999999999,1.02,0.05,0.834383
0.04999999999999999,1.04,0.05,0.876948
0.04999999999999999,1.06,0.05,0.930303
0.04999999999999999,1.08,0.05,0.996997
0.04999999999999999,1.1,0.05,0.955692
0.04999999999999999,1.12,0.05,0.807535
0.04999999999999999,1.1400000000000001,0.05,0.918365
0.04999999999999999,1.16,0.05,0.971176
0.04999999999999999,1.18,0.05,0.893024
0.04999999999999999,1.2,0.05,0.832712
0.04999999999999999,1.22,0.05,0.821717
0.04999999999999999,1.24,0.05,0.652189
0.04999999999999999,1.26,0.05,1.246428
0.04999999999999999,1.28,0.05,0.741813
0.04999999999999999,1.3,0.05,0.78435
0.04999999999999999,1.32,0.05,1.057851
0.04999999999999999,1.34,0.05,0.819023
0.04999999999999999,1.36,0.05,0.952923
0.04999999999999999,1.3800000000000001,0.05,0.835593
0.04999999999999999,1.4000000000000001,0.05,0.994356
0.04999999999999999,1.42,0.05,0.934501
0.04999999999999999,1.44,0.05,1.002737
0.04999999999999999,1.46,0.05,0.923019
0.04999999999999999,1.48,0.05,0.922623
0.04999999999999999,1.5,0.05,0.890619
0.04999999999999999,1.52,0.05,0.847278
0.04999999999999999,1.54,0.05,0.855234
0.04999999999999999,1.56,0.05,0.88774
0.04999999999999999,1.58,0.05,0.87983
0.04999999999999999,1.6,0.05,0.925644
0.04999999999999999,1.62,0.05,0.839264
0.04999999999999999,1.6400000000000001,0.05,0.882503
0.04999999999999999,1.6600000000000001,0.05,0.941156
0.04999999999999999,1.68,0.05,1.08554
0.04999999999999999,1.7,0.05,1.021041
0.04999999999999999,1.72,0.05,0.886395
0.04999999999999999,1.74,0.05,0.871533
0.04999999999999999,1.76,0.05,1.12829
0.04999999999999999,1.78,0.05,0.893111
0.04999999999999999,1.8,0.05,0.892337
0.04999999999999999,1.82,0.05,0.922311
0.04999999999999999,1.84,0.05,0.795495
0.04999999999999999,1.86,0.05,1.043464
0.04999999999999999,1.8800000000000001,0.05,0.929173
0.04999999999999999,1.9000000000000001,0.05,0.823894
0.04999999999999999,1.92,0.05,0.936224
0.04999999999999999,1.94,0.05,0.781397
