time,dc_input,ac_input,output_current,output_voltage
1.239333152770996,0.207814,"[-0.0123291  -0.01245117 -0.0123291  ... -0.01147461 -0.01159668
 -0.01147461]","[-0.00866699 -0.00854492 -0.00854492 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.0123291  -0.01245117 -0.0123291  ... -0.01147461 -0.01159668
 -0.01147461]"
1.2246127128601074,0.228327,"[-0.01147461 -0.01135254 -0.01147461 ... -0.01123047 -0.01135254
 -0.01123047]","[-0.00793457 -0.0078125  -0.00793457 ... -0.0078125  -0.0078125
 -0.0078125 ]","[-0.01147461 -0.01135254 -0.01147461 ... -0.01123047 -0.01135254
 -0.01123047]"
1.2249889373779297,0.24884,"[-0.01245117 -0.01281738 -0.01306152 ... -0.01147461 -0.01147461
 -0.01135254]","[-0.00866699 -0.0090332  -0.0090332  ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01245117 -0.01281738 -0.01306152 ... -0.01147461 -0.01147461
 -0.01135254]"
1.226578712463379,0.269353,"[-0.01135254 -0.01135254 -0.01159668 ... -0.00976562 -0.00976562
 -0.00976562]","[-0.0078125  -0.00793457 -0.00805664 ... -0.00671387 -0.00671387
 -0.00671387]","[-0.01135254 -0.01135254 -0.01159668 ... -0.00976562 -0.00976562
 -0.00976562]"
1.222721815109253,0.289377,"[-0.00976562 -0.0098877  -0.00976562 ... -0.01245117 -0.0123291
 -0.0123291 ]","[-0.0065918  -0.00671387 -0.0065918  ... -0.00866699 -0.00854492
 -0.00842285]","[-0.00976562 -0.0098877  -0.00976562 ... -0.01245117 -0.0123291
 -0.0123291 ]"
1.2362518310546875,0.30989,"[-0.01257324 -0.0123291  -0.01220703 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00866699 -0.00854492 -0.00854492 ... -0.00793457 -0.0078125
 -0.00793457]","[-0.01257324 -0.0123291  -0.01220703 ... -0.01147461 -0.01147461
 -0.01147461]"
1.2344028949737549,0.330403,"[-0.01171875 -0.01147461 -0.01147461 ... -0.01062012 -0.01062012
 -0.01062012]","[-0.00805664 -0.00793457 -0.00793457 ... -0.00732422 -0.00732422
 -0.00720215]","[-0.01171875 -0.01147461 -0.01147461 ... -0.01062012 -0.01062012
 -0.01062012]"
1.2233150005340576,0.350916,"[-0.01159668 -0.01147461 -0.01147461 ... -0.0098877  -0.0098877
 -0.01013184]","[-0.0078125  -0.0078125  -0.00793457 ... -0.00671387 -0.00671387
 -0.00683594]","[-0.01159668 -0.01147461 -0.01147461 ... -0.0098877  -0.0098877
 -0.01013184]"
1.228001594543457,0.37094,"[-0.01159668 -0.01171875 -0.01159668 ... -0.01184082 -0.0123291
 -0.01281738]","[-0.00805664 -0.00805664 -0.00793457 ... -0.00817871 -0.00866699
 -0.0090332 ]","[-0.01159668 -0.01171875 -0.01159668 ... -0.01184082 -0.0123291
 -0.01281738]"
1.2324299812316895,0.391453,"[-0.01147461 -0.01135254 -0.01147461 ... -0.01123047 -0.01135254
 -0.01123047]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00769043 -0.0078125
 -0.00769043]","[-0.01147461 -0.01135254 -0.01147461 ... -0.01123047 -0.01135254
 -0.01123047]"
1.2247672080993652,0.411966,"[-0.01147461 -0.01147461 -0.01147461 ... -0.00830078 -0.00842285
 -0.01000977]","[-0.00793457 -0.00793457 -0.00805664 ... -0.00512695 -0.00598145
 -0.00732422]","[-0.01147461 -0.01147461 -0.01147461 ... -0.00830078 -0.00842285
 -0.01000977]"
1.2349529266357422,0.432479,"[-0.01135254 -0.01147461 -0.01147461 ... -0.01147461 -0.01135254
 -0.01159668]","[-0.0078125  -0.00793457 -0.00793457 ... -0.0078125  -0.00769043
 -0.00793457]","[-0.01135254 -0.01147461 -0.01147461 ... -0.01147461 -0.01135254
 -0.01159668]"
1.233288049697876,0.452992,"[-0.01000977 -0.01000977 -0.0098877  ... -0.01257324 -0.01257324
 -0.01257324]","[-0.00683594 -0.00671387 -0.00671387 ... -0.00878906 -0.00878906
 -0.00866699]","[-0.01000977 -0.01000977 -0.0098877  ... -0.01257324 -0.01257324
 -0.01257324]"
1.2423410415649414,0.473016,"[-0.01159668 -0.01159668 -0.01147461 ... -0.01147461 -0.01159668
 -0.01147461]","[-0.00805664 -0.00793457 -0.00793457 ... -0.00793457 -0.00793457
 -0.0078125 ]","[-0.01159668 -0.01159668 -0.01147461 ... -0.01147461 -0.01159668
 -0.01147461]"
1.2303307056427002,0.493529,"[-0.01159668 -0.01159668 -0.01147461 ... -0.01000977 -0.01013184
 -0.01013184]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00683594 -0.00695801
 -0.00683594]","[-0.01159668 -0.01159668 -0.01147461 ... -0.01000977 -0.01013184
 -0.01013184]"
1.2252044677734375,0.514042,"[-0.01196289 -0.01184082 -0.01171875 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00830078 -0.00817871 -0.00805664 ... -0.00805664 -0.00793457
 -0.00805664]","[-0.01196289 -0.01184082 -0.01171875 ... -0.01147461 -0.01147461
 -0.01147461]"
1.2227139472961426,0.534554,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01135254 -0.01123047
 -0.01123047]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00793457 -0.00769043
 -0.00769043]","[-0.01147461 -0.01147461 -0.01147461 ... -0.01135254 -0.01123047
 -0.01123047]"
1.219123125076294,0.555067,"[-0.01025391 -0.01074219 -0.01049805 ... -0.01269531 -0.01281738
 -0.01269531]","[-0.00744629 -0.00744629 -0.00720215 ... -0.00891113 -0.00891113
 -0.00891113]","[-0.01025391 -0.01074219 -0.01049805 ... -0.01269531 -0.01281738
 -0.01269531]"
1.2343766689300537,0.575092,"[-0.01245117 -0.01281738 -0.01293945 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00878906 -0.00891113 -0.00915527 ... -0.00805664 -0.00793457
 -0.00793457]","[-0.01245117 -0.01281738 -0.01293945 ... -0.01147461 -0.01147461
 -0.01147461]"
1.238248348236084,0.595604,"[-0.01123047 -0.01147461 -0.01135254 ... -0.01123047 -0.01000977
 -0.00805664]","[-0.00769043 -0.00805664 -0.0078125  ... -0.00769043 -0.0065918
 -0.00512695]","[-0.01123047 -0.01147461 -0.01135254 ... -0.01123047 -0.01000977
 -0.00805664]"
1.2223546504974365,0.616117,"[-0.01135254 -0.01135254 -0.01147461 ... -0.01013184 -0.01000977
 -0.00976562]","[-0.0078125  -0.00793457 -0.00793457 ... -0.00708008 -0.00695801
 -0.00671387]","[-0.01135254 -0.01135254 -0.01147461 ... -0.01013184 -0.01000977
 -0.00976562]"
1.2445688247680664,0.63663,"[-0.01159668 -0.01159668 -0.01159668 ... -0.01293945 -0.01306152
 -0.01306152]","[-0.00817871 -0.00817871 -0.00805664 ... -0.0090332  -0.00915527
 -0.00915527]","[-0.01159668 -0.01159668 -0.01159668 ... -0.01293945 -0.01306152
 -0.01306152]"
