time,dc_input,ac_input,output_current,output_voltage
1.2318634986877441,0.065202,"[-0.01135254 -0.01135254 -0.01159668 ... -0.0098877  -0.00976562
 -0.00976562]","[-0.0078125  -0.0078125  -0.00805664 ... -0.00671387 -0.0065918
 -0.0065918 ]","[-0.01135254 -0.01135254 -0.01159668 ... -0.0098877  -0.00976562
 -0.00976562]"
1.2370388507843018,0.044689,"[-0.01147461 -0.01135254 -0.01147461 ... -0.01135254 -0.01123047
 -0.01135254]","[-0.00793457 -0.00793457 -0.00793457 ... -0.0078125  -0.0078125
 -0.0078125 ]","[-0.01147461 -0.01135254 -0.01147461 ... -0.01135254 -0.01123047
 -0.01135254]"
1.211660385131836,0.024176,"[-0.01135254 -0.01135254 -0.01135254 ... -0.01159668 -0.01147461
 -0.01147461]","[-0.00793457 -0.00793457 -0.0078125  ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01135254 -0.01135254 -0.01135254 ... -0.01159668 -0.01147461
 -0.01147461]"
1.2307090759277344,0.003663,"[-0.01135254 -0.01147461 -0.01159668 ... -0.01257324 -0.01281738
 -0.01293945]","[-0.0078125  -0.00805664 -0.00805664 ... -0.00891113 -0.0090332
 -0.00915527]","[-0.01135254 -0.01147461 -0.01159668 ... -0.01257324 -0.01281738
 -0.01293945]"
1.2221310138702393,-0.016361,"[-0.0123291  -0.01257324 -0.01245117 ... -0.01135254 -0.01147461
 -0.01135254]","[-0.00854492 -0.00866699 -0.00866699 ... -0.00805664 -0.00805664
 -0.00793457]","[-0.0123291  -0.01257324 -0.01245117 ... -0.01135254 -0.01147461
 -0.01135254]"
1.2251482009887695,-0.036874,"[-0.01135254 -0.01159668 -0.01135254 ... -0.01135254 -0.01147461
 -0.01135254]","[-0.0078125  -0.00805664 -0.0078125  ... -0.0078125  -0.00793457
 -0.00793457]","[-0.01135254 -0.01159668 -0.01135254 ... -0.01135254 -0.01147461
 -0.01135254]"
1.2387433052062988,-0.057387,"[-0.01220703 -0.0123291  -0.01208496 ... -0.01147461 -0.01147461
 -0.01159668]","[-0.00842285 -0.00842285 -0.00830078 ... -0.00793457 -0.00793457
 -0.00805664]","[-0.01220703 -0.0123291  -0.01208496 ... -0.01147461 -0.01147461
 -0.01159668]"
1.2260217666625977,-0.0779,"[-0.01037598 -0.01062012 -0.01074219 ... -0.01147461 -0.01135254
 -0.01147461]","[-0.00708008 -0.00720215 -0.00732422 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01037598 -0.01062012 -0.01074219 ... -0.01147461 -0.01135254
 -0.01147461]"
1.219797134399414,-0.098413,"[-0.01135254 -0.01147461 -0.01147461 ... -0.01135254 -0.01147461
 -0.01135254]","[-0.00793457 -0.0078125  -0.0078125  ... -0.0078125  -0.00793457
 -0.0078125 ]","[-0.01135254 -0.01147461 -0.01147461 ... -0.01135254 -0.01147461
 -0.01135254]"
1.223581314086914,-0.118437,"[-0.01074219 -0.01049805 -0.01049805 ... -0.01147461 -0.01135254
 -0.01147461]","[-0.00732422 -0.00708008 -0.00720215 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01074219 -0.01049805 -0.01049805 ... -0.01147461 -0.01135254
 -0.01147461]"
1.2333812713623047,-0.13895,"[-0.01281738 -0.01281738 -0.01269531 ... -0.01159668 -0.01159668
 -0.01147461]","[-0.00891113 -0.00891113 -0.00891113 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01281738 -0.01281738 -0.01269531 ... -0.01159668 -0.01159668
 -0.01147461]"
1.2285971641540527,-0.159463,"[-0.01062012 -0.01062012 -0.01062012 ... -0.01147461 -0.01135254
 -0.01135254]","[-0.00720215 -0.00720215 -0.00732422 ... -0.00805664 -0.00793457
 -0.00793457]","[-0.01062012 -0.01062012 -0.01062012 ... -0.01147461 -0.01135254
 -0.01135254]"
1.2259418964385986,-0.179976,"[-0.01086426 -0.01098633 -0.0111084  ... -0.01147461 -0.01135254
 -0.01147461]","[-0.00756836 -0.00769043 -0.0078125  ... -0.00793457 -0.0078125
 -0.00793457]","[-0.01086426 -0.01098633 -0.0111084  ... -0.01147461 -0.01135254
 -0.01147461]"
1.242130994796753,-0.2,"[-0.01281738 -0.01269531 -0.01281738 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00891113 -0.00878906 -0.00878906 ... -0.00805664 -0.00793457
 -0.00793457]","[-0.01281738 -0.01269531 -0.01281738 ... -0.01147461 -0.01147461
 -0.01147461]"
