frequency,dc_bias,ac_amplitude,Z_real,Z_imag,Z_magnitude,Z_phase,X,Y
10.0,0.0,0.01,-0.021571177438542147,-0.04192458927379276,0.04714856182177022,-117.22687522101478,-0.00047947466373443604,-0.0009318813681602478
16.378937069540637,0.0,0.01,-0.03395761980797513,-0.02342166011524812,0.0412515951882735,-145.40472481276493,-0.0006413012742996216,-0.00044232606887817383
26.826957952797258,0.0,0.01,-0.046403648447180784,-0.02099760846100111,0.050933271545140796,-155.65329166292605,-0.00036640465259552,-0.00016579777002334595
43.939705607607905,0.0,0.01,-0.046352089836666284,0.016664475920945655,0.04925668472345819,160.2255040287265,-0.00019347667694091797,6.955862045288086e-05
71.96856730011521,0.0,0.01,-0.03388923923665829,0.028795080205171502,0.04447063278233985,139.6460392031901,-8.203089237213135e-05,6.970018148422241e-05
117.87686347935866,0.0,0.01,-0.02731267517647265,-0.025887777161651394,0.03763189115187841,-136.53421870298823,-0.0001273900270462036,-0.00012074410915374756
193.06977288832496,0.0,0.01,-0.047719679232897175,-0.016490686629948837,0.050488716874345016,-160.93617452740014,-2.718716859817505e-05,-9.395182132720947e-06
316.22776601683796,0.0,0.01,-0.02101890463627735,-0.042063106585190524,0.04702232754454016,-116.5512661412216,-4.9524009227752686e-05,-9.910762310028076e-05
517.9474679231213,0.0,0.01,-0.03220711489077954,-0.025220771714969187,0.04090703576998049,-141.93618786995626,-6.587803363800049e-05,-5.1587820053100586e-05
848.3428982440716,0.0,0.01,-0.03506898820446044,-0.03700513234365278,0.05098248477130006,-133.46122000359918,-6.221234798431396e-05,-6.564706563949585e-05
1389.4954943731375,0.0,0.01,-0.03380848898921805,-0.03488083616744749,0.04857660609258732,-134.10559644315228,-5.9664249420166016e-05,-6.155669689178467e-05
2275.8459260747886,0.0,0.01,-0.0315958857235792,-0.028592387467212883,0.04261249365776085,-137.85678811719507,-6.168335676193237e-05,-5.581974983215332e-05
3727.593720314938,0.0,0.01,-0.024415832161075682,-0.023376739105231914,0.033802437653398555,-136.2455129911732,-6.37248158454895e-05,-6.101280450820923e-05
6105.402296585326,0.0,0.01,-0.02707077999224775,-0.027417050101064506,0.03852949215384187,-134.63589027686467,-5.882978439331055e-05,-5.9582293033599854e-05
10000.0,0.0,0.01,-0.014464626633886594,-0.014066452989640757,0.020176484415465316,-135.79955573743183,-6.116926670074463e-05,-5.9485435485839844e-05
