bias,freq,Zmag,phase,Zreal,Zimag,DC_Current,AC_Mag,AC_Phase,AC_Ch1,AC_Ch2
0.0,2154.4346900318824,859.8172974689076,-143.01998888399683,-686.8611081900744,-517.2113717646189,-0.3663,1.1630377790069543e-05,-143.01998888399683,[0. 0. 0. ... 0. 0. 0.],"[-0.00024414 -0.00024414 -0.00024414 ... -0.00012207 -0.00012207
 -0.00024414]"
0.0,4641.588833612777,1456.144318943687,-125.32812170710152,-842.0272886429146,-1188.0009775975084,-0.17094,6.867451165317307e-06,-125.32812170710152,"[-0.00024414 -0.00024414 -0.00024414 ...  0.00024414  0.00024414
  0.00024414]","[-0.00024414 -0.00024414 -0.00024414 ...  0.00036621  0.00036621
  0.00036621]"
0.0,10000.0,1369.3255779979813,-149.66782490370005,-1181.8814632455571,-691.526388069209,-0.46398,7.302865118915307e-06,-149.66782490370005,"[ 0.00085449  0.00085449  0.00085449 ... -0.00024414 -0.00024414
 -0.00024414]","[ 0.00048828  0.00048828  0.00048828 ... -0.00012207 -0.00012207
 -0.00012207]"
0.2,10.0,19.64749302512171,-70.00213210238303,6.719151341547877,-18.46285425988034,-0.3663,0.0005089707876324874,-70.00213210238303,"[ 0.00622559  0.00634766  0.00646973 ... -0.02160645 -0.02148438
 -0.02148438]",[0.02160645 0.02160645 0.02148438 ... 0.0090332  0.00915527 0.00927734]
0.2,21.544346900318832,49.64516988167536,107.78754371955375,-15.166018642352206,47.271923708690245,-0.46398,0.00020142946481669957,107.78754371955375,"[-0.02087402 -0.02038574 -0.02001953 ...  0.01745605  0.01794434
  0.01831055]",[0.0435791  0.04370117 0.04394531 ... 0.04333496 0.04321289 0.04309082]
0.2,46.41588833612777,69.9718989316264,152.8164472146799,-62.24333128332178,31.966143822056413,0.317466,0.00014291451500796884,152.8164472146799,[0.0045166  0.00378418 0.00305176 ... 0.03405762 0.03369141 0.03344727],"[-0.03918457 -0.03918457 -0.03918457 ... -0.01794434 -0.01855469
 -0.01916504]"
0.2,100.0,106.78402906852078,-110.42319650431843,-37.262445239701826,-100.07166951173001,0.122106,9.364696282047231e-05,-110.42319650431843,"[ 0.01293945  0.01269531  0.01257324 ... -0.0123291  -0.01257324
 -0.01293945]","[-0.00671387 -0.00720215 -0.0078125  ... -0.0078125  -0.00732422
 -0.00683594]"
0.2,215.44346900318823,123.28682509620585,-140.5050761866661,-95.13809239609752,-78.41163572795853,-1.050061,8.111166778929203e-05,-140.5050761866661,"[ 0.00134277  0.00109863  0.00073242 ... -0.00427246 -0.00427246
 -0.00427246]","[-0.00280762 -0.00280762 -0.00292969 ...  0.          0.00036621
  0.00061035]"
0.2,464.15888336127773,161.45172111559145,-134.41517057152987,-112.99238928065027,-115.32293013896548,-0.561661,6.193802042432545e-05,-134.41517057152987,"[-0.00012207  0.00012207  0.00024414 ...  0.00061035  0.00061035
  0.00048828]","[ 0.00073242  0.00061035  0.00061035 ... -0.00036621 -0.00048828
 -0.00073242]"
0.2,1000.0,322.48555343254804,-137.57073711069054,-238.03008767554505,-217.57437701592787,-0.659341,3.1009141009758836e-05,-137.57073711069054,"[ 0.00012207  0.          0.         ... -0.00024414 -0.00012207
 -0.00012207]","[ 0.00012207  0.00012207  0.00012207 ... -0.00012207 -0.00012207
 -0.00012207]"
0.2,2154.4346900318824,805.4614825989611,-137.67542665602917,-595.5118107341503,-542.3411133471719,0.122106,1.2415242958276872e-05,-137.67542665602917,"[ 0.          0.          0.         ... -0.00012207 -0.00012207
 -0.00012207]","[-0.00036621 -0.00036621 -0.00036621 ... -0.00012207 -0.00012207
  0.        ]"
0.2,4641.588833612777,1025.089496759282,-130.13614154817435,-660.7788458861938,-783.6962378342182,-0.46398,9.755245792307893e-06,-130.13614154817435,[0.00024414 0.00024414 0.00024414 ... 0.00024414 0.00024414 0.00024414],[0.00024414 0.00024414 0.00024414 ... 0.00024414 0.00024414 0.00024414]
0.2,10000.0,8232.822164067928,48.97938245267821,5403.452816615245,6211.445761155844,-0.17094,1.2146503107579443e-06,48.97938245267821,"[ 0.          0.          0.         ... -0.00097656 -0.00097656
 -0.00097656]","[-0.00012207 -0.00012207 -0.00012207 ... -0.00061035 -0.00061035
 -0.00061035]"
0.4000000000000001,10.0,22.588178209617645,36.645224591743435,18.12354830540255,13.481943170447858,-0.46398,0.00044270945213909185,36.645224591743435,"[-0.02355957 -0.02355957 -0.02355957 ... -0.00170898 -0.00183105
 -0.00195312]","[ 0.00268555  0.00268555  0.00280762 ... -0.02246094 -0.02246094
 -0.02246094]"
0.4000000000000001,21.544346900318832,34.14639501190935,172.10510964415639,-33.82274580357383,4.690219463540745,-0.26862,0.0002928566835975589,172.10510964415639,"[-0.04980469 -0.04980469 -0.04980469 ... -0.03356934 -0.03320312
 -0.03283691]","[-0.00073242 -0.00024414  0.00012207 ...  0.03381348  0.03417969
  0.03442383]"
0.4000000000000001,46.41588833612777,48.89136064642701,-152.86184212470434,-43.508872772257895,-22.30119135711066,-0.46398,0.00020453511352073206,-152.86184212470434,[0.03417969 0.03393555 0.03356934 ... 0.03198242 0.0324707  0.03295898],"[-0.01623535 -0.01696777 -0.0177002  ...  0.02246094  0.02185059
  0.0213623 ]"
0.4000000000000001,100.0,89.19022456448397,-158.65250137921697,-83.07086270198891,-32.46733632145369,-0.659341,0.00011211991054882997,-158.65250137921697,"[-0.00439453 -0.00488281 -0.00549316 ... -0.0090332  -0.00854492
 -0.00805664]","[-0.01367188 -0.01342773 -0.01318359 ...  0.00939941  0.00976562
  0.01000977]"
0.4000000000000001,215.44346900318823,132.42252754821496,-132.30487017267797,-89.13034306690273,-97.9362432760925,-0.854701,7.551585206194623e-05,-132.30487017267797,"[-0.00366211 -0.00366211 -0.00354004 ...  0.00183105  0.0020752
  0.00244141]","[-0.00061035 -0.00024414  0.         ...  0.00231934  0.00219727
  0.0020752 ]"
0.4000000000000001,464.15888336127773,164.2971799182564,-134.24615166692922,-114.63709993349306,-117.6940892650529,-0.46398,6.0865317377786704e-05,-134.24615166692922,"[ 0.00048828  0.00061035  0.00061035 ...  0.         -0.00012207
 -0.00024414]","[ 0.00061035  0.00061035  0.00048828 ... -0.00048828 -0.00061035
 -0.00061035]"
0.4000000000000001,1000.0,314.09922835380615,-136.0809241866607,-226.25202322532314,-217.87231866142224,-0.26862,3.18370728015156e-05,-136.0809241866607,"[ 0.00012207  0.00012207  0.         ... -0.00012207 -0.00012207
 -0.00012207]","[ 0.         -0.00012207 -0.00012207 ...  0.00012207  0.00024414
  0.00024414]"
0.4000000000000001,2154.4346900318824,806.9512392427287,-137.9974246463901,-599.6573671020601,-539.9827262011263,-0.26862,1.2392322501895344e-05,-137.9974246463901,"[-0.00012207 -0.00012207  0.         ... -0.00036621 -0.00036621
 -0.00036621]","[ 0.00024414  0.00024414  0.00024414 ... -0.00036621 -0.00036621
 -0.00036621]"
0.4000000000000001,4641.588833612777,6803.622453427947,-125.30133826228993,-3931.6548017575874,-5552.600202482205,-0.3663,1.469805249843278e-06,-125.30133826228993,"[-0.00012207 -0.00012207 -0.00012207 ... -0.00036621 -0.00036621
 -0.00036621]","[-0.00012207 -0.00012207 -0.00012207 ... -0.00048828 -0.00048828
 -0.00048828]"
0.4000000000000001,10000.0,29150.227764961808,-145.61965527615513,-24057.894641509432,-16460.664754716985,-0.3663,3.43050492799918e-07,-145.61965527615513,"[-0.00073242 -0.00073242 -0.00073242 ...  0.00024414  0.00024414
  0.00024414]","[-0.00048828 -0.00048828 -0.00048828 ...  0.00012207  0.00012207
  0.00012207]"
0.6000000000000001,10.0,21.122136748688487,-23.52560171926103,19.366502932678713,-8.43108682133231,0.317466,0.0004734369500103212,-23.52560171926103,"[-0.01135254 -0.01135254 -0.01123047 ... -0.0213623  -0.02148438
 -0.02160645]","[ 0.01940918  0.01953125  0.01953125 ... -0.00952148 -0.00939941
 -0.00927734]"
0.6000000000000001,21.544346900318832,44.210800909543096,125.10612519104154,-25.425309432303457,36.168336391585356,-1.050061,0.0002261890713190282,125.10612519104154,"[-0.03149414 -0.03112793 -0.03076172 ...  0.0012207   0.00158691
  0.00195312]",[0.03552246 0.03588867 0.03613281 ... 0.04980469 0.04980469 0.04980469]
