bias,freq,Zmag,phase,Zreal,Zimag,Idc
-0.2,10.0,19.37613071964522,-67.22965875429296,7.499305442745039,-17.866025286593374,-0.46398
-0.2,21.544346900318832,29.651908333981186,-135.82258508626666,-21.26591465272859,-20.663894643306868,-0.659341
-0.2,46.41588833612777,50.35400477538637,-116.588122527603,-22.537129191496383,-45.02891964865952,-0.26862
-0.2,100.0,174.11840537436606,-143.00968952379048,-139.0748604668826,-104.76355414088052,-0.952381
-0.2,215.44346900318823,136.65429274637955,-131.11129131701765,-89.85344141616916,-102.95996693707829,-0.3663
-0.2,464.15888336127773,164.41608821280636,-135.6054941858558,-117.4818335612515,-115.02464451711084,-0.46398
-0.2,1000.0,313.0808340578549,-136.72024724928028,-227.92756453921191,-214.6360500418917,-0.26862
-0.2,2154.4346900318824,680.5303133844809,-138.49432589030073,-509.6424121273761,-450.9835021330266,-0.17094
-0.2,4641.588833612777,1428.9401839289974,-125.46676720996999,-829.1148966846132,-1163.8034788325306,-0.3663
-0.2,10000.0,4558.772569845132,28.393019421382995,4010.3819236049426,2167.7740127594284,-0.46398
0.0,10.0,21.576039719338596,4.272115652155958,21.51609081389647,1.6072728637778675,-0.3663
0.0,21.544346900318832,30.242239023840412,-142.7686195825155,-24.078830328764905,-18.297621462191398,-0.3663
0.0,46.41588833612777,77.08322617187291,-87.18212652577682,3.7895151496282766,-76.99002098970263,-0.46398
0.0,100.0,97.17520836037717,-124.92813017694556,-55.63751683833638,-79.67112299915543,-0.3663
0.0,215.44346900318823,119.00515308256097,-138.73856621870803,-89.45715124130811,-78.48340303525006,-0.17094
0.0,464.15888336127773,161.3581015076732,-134.5080564883632,-113.1135699846732,-115.0728343593005,-0.3663
0.0,1000.0,337.13713640925255,-134.6132848028553,-236.7775221872789,-239.9955285689373,-0.561661
0.0,2154.4346900318824,704.8873216488006,-128.9887666281493,-443.4925550170403,-547.8872966821526,-0.26862
0.0,4641.588833612777,1941.1014774533921,-132.5969811497075,-1313.8096590497905,-1428.90836849646,-0.3663
0.0,10000.0,1071.4245671010933,-152.88266816062983,-953.6481815065132,-488.370503713201,-0.26862
0.2,10.0,18.5110839054933,-143.78125252560864,-14.934131994418085,-10.937638178761961,-0.17094
0.2,21.544346900318832,54.89672455054446,47.514601640225216,37.07737363875338,40.48356123700862,-0.3663
0.2,46.41588833612777,49.971160399704516,-159.0055255474346,-46.653824057112324,-17.903563124166208,-0.3663
0.2,100.0,76.0032257698527,-142.0957067184836,-59.96943728798247,-46.692150505046776,-0.3663
0.2,215.44346900318823,134.36632998027312,-138.16115666714242,-100.10613480663298,-89.62740879019022,-0.46398
0.2,464.15888336127773,162.64194929758065,-135.5695022744307,-116.14264163007579,-113.85644674986385,-0.46398
0.2,1000.0,309.3179997980629,-136.26058388589536,-223.47968397445857,-213.8561569133574,-0.46398
0.2,2154.4346900318824,797.7725161877614,-139.48366454285974,-606.4832382802979,-518.2847376390661,-0.3663
0.2,4641.588833612777,2233.4905128102905,-120.8329444773688,-1144.7457970757637,-1917.8208808152417,-0.3663
0.2,10000.0,3728.543543688191,-133.98701711938918,-2589.456170271878,-2682.6765924016627,-0.46398
0.4000000000000001,10.0,20.090340432484098,-56.00522749827993,11.232856139185698,-16.656671986007996,-0.3663
0.4000000000000001,21.544346900318832,37.245137301938854,144.07584508159664,-30.160902271083422,21.852236197570996,-0.3663
0.4000000000000001,46.41588833612777,102.55319618434609,-30.289525323623,88.55343095675845,-51.72473212508297,-0.26862
0.4000000000000001,100.0,95.22189655735443,-137.67408498154518,-70.40008237559383,-64.11737662669232,-0.46398
0.4000000000000001,215.44346900318823,125.74496037757707,-140.59993189465746,-97.16725770967922,-79.81427873218682,-0.46398
0.4000000000000001,464.15888336127773,165.65316642471856,-136.18015813931652,-119.52215407866728,-114.69710646276488,-0.3663
0.4000000000000001,1000.0,341.1553680349558,-132.87814131631555,-232.1362191567422,-249.99952178890084,-0.26862
0.4000000000000001,2154.4346900318824,770.1090730131341,-140.09761714791424,-590.7802992006896,-494.01075131366565,0.122106
0.4000000000000001,4641.588833612777,1198.1958734907194,-134.20427644726072,-835.4044611203645,-858.9369811519243,0.219786
0.4000000000000001,10000.0,1540.68410014296,-146.32817372762648,-1282.1986786381592,-854.2096024582496,-0.46398
0.6000000000000001,10.0,18.71431021578698,-107.94332294064732,-5.765430900760448,-17.804078560298073,0.219786
0.6000000000000001,21.544346900318832,55.64153367960776,17.777700601802103,52.9845556668406,16.98873541516243,-0.26862
0.6000000000000001,46.41588833612777,136.1778643899175,147.11772476812564,-114.36051709658229,73.9329620615938,-0.46398
0.6000000000000001,100.0,238.1274102232807,-164.33386871922355,-229.2813426349924,-64.30186170821051,-0.3663
0.6000000000000001,215.44346900318823,139.2484934080157,-133.0114496591063,-94.98759334932593,-101.82092135757405,-0.26862
0.6000000000000001,464.15888336127773,158.256217690676,-134.97133778152394,-111.84805068666132,-111.9600106973587,0.219786
0.6000000000000001,1000.0,338.3466720132432,-135.04085259879048,-239.4177515715818,-239.07657914326433,0.219786
0.6000000000000001,2154.4346900318824,760.1690863392799,-140.1237960028545,-583.3776958019204,-487.36793479540455,-0.17094
