dc_bias,frequency,Z_real,Z_imag,Z_magnitude,Z_phase
-0.2,10.0,0.04723121003048839,0.004922809222503859,0.04748706404469828,5.9503330474173675
-0.2,21.544346900318832,-0.019576904571888484,0.0448557209755893,0.04894170917384016,113.57846064419094
-0.2,46.41588833612777,-0.04611839896720911,0.020040172948582617,0.050284344035770985,156.51324725520038
-0.2,100.0,-0.01099709955159306,0.04992545239977259,0.05112227494810464,102.42219543264443
-0.2,215.44346900318823,-0.05091454547317897,-0.006589384796473258,0.05133917541932673,-172.62574264491684
-0.2,464.15888336127773,-0.03232047191745495,-0.018436867339193086,0.037209286236771576,-150.2978657736374
-0.2,1000.0,-0.02997209415319823,-0.025947910006205038,0.0396436686195702,-139.11609382437874
-0.2,2154.4346900318824,-0.029963642051714697,-0.028268996536152464,0.04119412591819719,-136.6669112432117
-0.2,4641.588833612777,-0.027037071455160187,-0.027565243721470185,0.03861147360947895,-134.4457909373648
-0.2,10000.0,-0.014503976138833467,-0.014115001025631839,0.020238541888916762,-135.77868821152944
0.8,10.0,-0.002771263225083335,-0.04749313569714726,0.047573919727202874,-93.33946883213225
0.8,21.544346900318832,-0.015839888837738174,-0.04671612249449174,0.04932847229858492,-108.7300945908257
0.8,46.41588833612777,-0.03018726906895243,-0.04042045340979351,0.05044882820933128,-126.75353526570169
0.8,100.0,-0.050961517879844286,-0.006130781282240013,0.051328966322617034,-173.14015979624608
0.8,215.44346900318823,-0.006200509916288267,-0.05097249572964412,0.05134823895841587,-96.93562529465383
0.8,464.15888336127773,-0.021715268544228606,-0.03020080865032149,0.037197334999718695,-125.71724449761791
0.8,1000.0,-0.030770121262526765,-0.025154442184768883,0.03974350669150222,-140.73414873396902
0.8,2154.4346900318824,-0.027761634700028293,-0.03037196539638052,0.04114808189037188,-132.42901630736975
0.8,4641.588833612777,-0.026851060832144707,-0.02739729564809276,0.038361325272213136,-134.42309972204734
0.8,10000.0,-0.014096693452792864,-0.014306886144218017,0.020084913677823727,-134.5760064597292
