1.760, 0.0880, 1.6068
1.770, 0.0885, 1.6953
1.780, 0.0890, 1.6631
1.790, 0.0895, 1.5052
1.800, 0.0900, 1.6774
1.810, 0.0905, 1.7171
1.820, 0.0910, 1.6027
1.830, 0.0915, 1.7471
1.840, 0.0920, 1.7125
1.850, 0.0925, 1.7428
1.860, 0.0930, 1.7829
1.870, 0.0935, 1.9324
1.880, 0.0940, 1.7618
1.890, 0.0945, 1.7565
1.900, 0.0950, 1.7614
1.910, 0.0955, 1.7724
1.920, 0.0960, 1.6840
1.930, 0.0965, 1.8334
1.940, 0.0970, 1.8219
1.950, 0.0975, 1.7450
1.960, 0.0980, 1.7569
1.970, 0.0985, 1.7873
1.980, 0.0990, 1.7634
1.990, 0.0995, 1.7911
2.000, 0.1000, 1.9125
2.010, 0.1005, 1.8734
2.020, 0.1010, 1.8680
2.030, 0.1015, 1.8540
2.040, 0.1020, 1.9603
2.050, 0.1025, 1.9723
2.060, 0.1030, 1.9593
2.070, 0.1035, 1.9778
2.080, 0.1040, 1.9473
2.090, 0.1045, 2.0261
2.100, 0.1050, 2.0055
2.110, 0.1055, 2.0542
2.120, 0.1060, 2.0102
2.130, 0.1065, 1.9861
2.140, 0.1070, 2.0397
2.150, 0.1075, 2.0248
2.160, 0.1080, 1.9988
2.170, 0.1085, 2.0209
2.180, 0.1090, 2.0927
2.190, 0.1095, 2.0257
2.200, 0.1100, 2.0687
2.210, 0.1105, 2.1639
2.220, 0.1110, 2.1763
2.230, 0.1115, 2.1261
2.240, 0.1120, 2.1526
2.250, 0.1125, 2.0706
2.260, 0.1130, 2.1496
2.270, 0.1135, 2.2035
2.280, 0.1140, 2.2429
2.290, 0.1145, 2.2154
2.300, 0.1150, 2.2012
2.310, 0.1155, 2.1792
2.320, 0.1160, 2.1226
2.330, 0.1165, 2.2750
2.340, 0.1170, 2.1486
2.350, 0.1175, 2.2184
2.360, 0.1180, 2.2678
2.370, 0.1185, 2.2645
2.380, 0.1190, 2.2300
2.390, 0.1195, 2.2889
2.400, 0.1200, 2.2616
2.410, 0.1205, 2.2344
2.420, 0.1210, 2.3393
2.430, 0.1215, 2.2515
2.440, 0.1220, 2.1929
2.450, 0.1225, 2.2026
2.460, 0.1230, 2.2720
2.470, 0.1235, 2.3492
2.480, 0.1240, 2.3001
2.490, 0.1245, 2.4591
2.500, 0.1250, 2.3209
2.510, 0.1255, 2.3133
2.520, 0.1260, 2.4569
2.530, 0.1265, 2.3707
2.540, 0.1270, 2.4119
2.550, 0.1275, 2.4540
2.560, 0.1280, 2.3357
2.570, 0.1285, 2.4362
2.580, 0.1290, 2.4832
2.590, 0.1295, 2.6189
2.600, 0.1300, 2.5678
2.610, 0.1305, 2.3964
2.620, 0.1310, 2.4771
2.630, 0.1315, 2.4687
2.640, 0.1320, 2.4404
2.650, 0.1325, 2.4568
2.660, 0.1330, 2.5075
2.670, 0.1335, 2.3896
2.680, 0.1340, 2.5451
2.690, 0.1345, 2.5343
2.700, 0.1350, 2.5758
2.710, 0.1355, 2.3870
2.720, 0.1360, 2.5522
2.730, 0.1365, 2.5703
2.740, 0.1370, 2.5523
2.750, 0.1375, 2.6352
2.760, 0.1380, 2.5409
2.770, 0.1385, 2.6241
2.780, 0.1390, 2.6012
2.790, 0.1395, 2.7831
2.800, 0.1400, 2.7143
2.810, 0.1405, 2.6012
2.820, 0.1410, 2.6982
2.830, 0.1415, 2.6225
2.840, 0.1420, 2.7650
2.850, 0.1425, 2.7647
2.860, 0.1430, 2.6486
2.870, 0.1435, 2.7558
2.880, 0.1440, 2.7934
2.890, 0.1445, 2.6691
2.900, 0.1450, 2.7446
2.910, 0.1455, 2.7829
2.920, 0.1460, 2.7816
2.930, 0.1465, 2.8998
2.940, 0.1470, 2.7840
2.950, 0.1475, 2.7581
2.960, 0.1480, 2.8700
2.970, 0.1485, 2.8342
2.980, 0.1490, 2.8357
2.990, 0.1495, 2.9047
3.000, 0.1500, 2.9361
3.010, 0.1505, 2.7492
3.020, 0.1510, 2.8366
3.030, 0.1515, 2.8170
3.040, 0.1520, 3.0125
3.050, 0.1525, 2.7967
3.060, 0.1530, 2.8422
3.070, 0.1535, 3.0571
3.080, 0.1540, 2.8548
3.090, 0.1545, 2.9888
3.100, 0.1550, 2.9522
3.110, 0.1555, 3.0476
3.120, 0.1560, 2.9095
3.130, 0.1565, 2.9924
3.140, 0.1570, 3.0529
3.150, 0.1575, 3.0040
3.160, 0.1580, 2.9971
3.170, 0.1585, 3.1486
