frequency,dc_bias,ac_amplitude,Z_real,Z_imag,Z_magnitude,Z_phase,X,Y
10.0,0.0,0.01,-0.006258800104060729,-0.04723197800718537,0.04764485623038266,-97.54839697046509,-0.00013790279626846313,-0.0010406821966171265
16.378937069540637,0.0,0.01,-0.001998514316422214,-0.041635648107866054,0.041683584932620595,-92.74809258347189,-3.714114427566528e-05,-0.0007737725973129272
26.826957952797258,0.0,0.01,0.0442601974945223,-0.026132645370163698,0.05139922408263432,-30.55896997295005,0.00024996697902679443,-0.0001475885510444641
43.939705607607905,0.0,0.01,0.03390714849232502,-0.036422895173722374,0.04976265679921589,-47.04862998411404,0.00011849403381347656,-0.00012728571891784668
71.96856730011521,0.0,0.01,0.037278775696250065,-0.0248372095063332,0.04479502308820493,-33.67377643187429,7.862597703933716e-05,-5.2385032176971436e-05
117.87686347935866,0.0,0.01,-0.03752733038111054,0.005384231578465115,0.037911613988638924,171.8352112695494,-0.00011715292930603027,1.6808509826660156e-05
193.06977288832496,0.0,0.01,0.0014514131178479214,-0.05085770981836998,0.050878416327635304,-88.36529642049413,2.2277235984802246e-06,-7.805973291397095e-05
316.22776601683796,0.0,0.01,-0.04520052201920349,-0.014108870215306307,0.04735131898438371,-162.66479261536338,-5.2966177463531494e-05,-1.6532838344573975e-05
517.9474679231213,0.0,0.01,-0.03190012968321451,-0.02588029339694142,0.041078070306645044,-140.9478854321952,-7.126480340957642e-05,-5.7816505432128906e-05
848.3428982440716,0.0,0.01,-0.03398203755020281,-0.03807877610543976,0.051036967638679355,-131.74617278902167,-5.574524402618408e-05,-6.246566772460938e-05
1389.4954943731375,0.0,0.01,-0.034362453449459984,-0.03462973134606846,0.048785207800799424,-134.77803545621944,-5.9388577938079834e-05,-5.985051393508911e-05
2275.8459260747886,0.0,0.01,-0.02910129414861145,-0.031233583121468476,0.04268983527409877,-132.97595786433646,-5.602836608886719e-05,-6.013363599777222e-05
3727.593720314938,0.0,0.01,-0.02450111704543151,-0.023354027439793167,0.033848417010733996,-136.37311904012657,-6.110966205596924e-05,-5.824863910675049e-05
6105.402296585326,0.0,0.01,-0.027727222169888092,-0.026635470944345943,0.03844797994284525,-136.15050094921185,-6.338953971862793e-05,-6.089359521865845e-05
10000.0,0.0,0.01,-0.014098509629363635,-0.014502025957730185,0.020225645370369253,-134.19168476220094,-5.987286567687988e-05,-6.158649921417236e-05
